Code,Country,GDP,Region,Group Type,Income Level,Fatalities,Wounded,Latitude,Longitude,Casualties,Group Name
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,3.0,0.0,13.500535,-1.349904,3.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,2.0,0.0,13.500535,-1.349904,2.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,30.0,,13.756573,-0.311872,,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,11.0,0.0,13.897909,-1.764835,11.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,3.0,0.0,13.726389,-2.398611,3.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,5.0,0.0,13.897888,-1.764831,5.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,19.0,7.0,14.229335,-0.860364,26.0,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,3.0,0.0,14.229622,-0.864126,3.0,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,1.0,0.0,14.678733,-0.462031,1.0,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,ethnic,Low Income,0.0,0.0,14.096284,-1.366216,0.0,Fulani extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,0.0,0.0,11.244639,0.711673,0.0,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,7.0,,12.057622,0.370365,,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,2.0,6.0,12.762574,0.743846,8.0,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,3.0,2.0,11.477806,0.919844,5.0,Muslim extremists
BFA,Burkina Faso,813.096848960038,Sub-Saharan Africa,religious,Low Income,3.0,1.0,14.962705,-0.170317,4.0,Muslim extremists
BFA,Burkina Faso,734.994429826895,Sub-Saharan Africa,religious,Low Income,0.0,0.0,14.280062,-1.687357,0.0,Muslim extremists
BFA,Burkina Faso,734.994429826895,Sub-Saharan Africa,religious,Low Income,,,14.206497,-1.852926,,Muslim extremists
BFA,Burkina Faso,734.994429826895,Sub-Saharan Africa,religious,Low Income,2.0,0.0,14.175719,-1.559134,2.0,Muslim extremists
BFA,Burkina Faso,734.994429826895,Sub-Saharan Africa,religious,Low Income,1.0,0.0,14.188056,-1.543333,1.0,Muslim extremists
BFA,Burkina Faso,734.994429826895,Sub-Saharan Africa,religious,Low Income,2.0,0.0,14.385392,-1.398095,2.0,Muslim extremists
BFA,Burkina Faso,734.994429826895,Sub-Saharan Africa,religious,Low Income,0.0,0.0,14.134083,-0.803605,0.0,Muslim extremists
BFA,Burkina Faso,688.249662758849,Sub-Saharan Africa,religious,Low Income,3.0,0.0,14.100087,-0.149499,3.0,Muslim extremists
BFA,Burkina Faso,653.32697954543,Sub-Saharan Africa,religious,Low Income,1.0,1.0,,,2.0,Muslim extremists
BGD,Bangladesh,1855.73982408046,South Asia,religious,Lower Middle,0.0,50.0,26.269578,88.596114,50.0,Muslim extremists
BGD,Bangladesh,1698.35039428122,South Asia,ethnic ,Lower Middle,1.0,0.0,21.169547,92.159946,1.0,Rohingya extremists
BGD,Bangladesh,1563.91369862485,South Asia,religious,Lower Middle,1.0,0.0,23.791275,90.418202,1.0,Muslim extremists
BGD,Bangladesh,1563.91369862485,South Asia,religious,Lower Middle,0.0,0.0,23.890021,90.40577,0.0,Muslim extremists
BGD,Bangladesh,1563.91369862485,South Asia,religious,Lower Middle,0.0,1.0,24.687497,90.597914,1.0,Muslim extremists
BGD,Bangladesh,1563.91369862485,South Asia,ethnic ,Lower Middle,0.0,5.0,21.43933,91.977553,5.0,Rohingya extremists
BGD,Bangladesh,1401.62062821515,South Asia,ethnic ,Lower Middle,1.0,,20.95519,92.251855,,Rohingya extremists
BGR,Bulgaria,7055.93567291245,Eastern Europe,religious,Upper Middle,0.0,0.0,42.135408,24.74529,0.0,Anti-Muslim extremists
BHR,Bahrain,24989.4001204704,Middle East & North Africa,religious,High Income,0.0,1.0,26.223697,50.536627,1.0,Muslim extremists
BIH,Bosnia-Herzegovina,4727.27771157479,Eastern Europe,religious,Upper Middle,0.0,1.0,45.183961,15.828342,1.0,Muslim extremists
BIH,Bosnia-Herzegovina,4727.27771157479,Eastern Europe,religious,Upper Middle,2.0,2.0,44.386232,19.100646,4.0,Muslim extremists
BIH,Bosnia-Herzegovina,4727.27771157479,Eastern Europe,religious,Upper Middle,2.0,3.0,43.878321,18.314335,5.0,Muslim extremists
BIH,Bosnia-Herzegovina,5329.63504488766,Eastern Europe,religious,Upper Middle,0.0,1.0,45.183961,15.828342,1.0,Muslim extremists
BIH,Bosnia-Herzegovina,5329.63504488766,Eastern Europe,religious,Upper Middle,0.0,1.0,45.183961,15.828342,1.0,Muslim extremists
BRA,Brazil,9001.23424863499,South America,political,Upper Middle,0.0,0.0,-25.447998,-52.909927,0.0,Neo-Fascist extremists
BRA,Brazil,9001.23424863499,South America,political,Upper Middle,0.0,2.0,-25.368711,-49.236584,2.0,Neo-Fascist extremists
BRA,Brazil,9001.23424863499,South America,ethnic,Upper Middle,0.0,0.0,-31.764488,-52.34599,0.0,Pro-Palestinian extremists
CAF,Central African Republic,475.953609871945,Sub-Saharan Africa,religious,Low Income,27.0,101.0,4.37474,18.551293,128.0,Muslim extremists
CAF,Central African Republic,475.953609871945,Sub-Saharan Africa,ethnic,Low Income,8.0,7.0,6.134148,21.129103,15.0,Fulani extremists
CAF,Central African Republic,450.900244979058,Sub-Saharan Africa,religious,Low Income,4.0,20.0,4.37474,18.551293,24.0,Muslim extremists
CAF,Central African Republic,402.191290596004,Sub-Saharan Africa,ethnic,Low Income,10.0,,7.276389,15.6625,,Fulani extremists
CAF,Central African Republic,402.191290596004,Sub-Saharan Africa,ethnic,Low Income,3.0,,6.316822,20.712247,,Fulani extremists
CAF,Central African Republic,402.191290596004,Sub-Saharan Africa,religious,Low Income,1.0,1.0,4.37474,18.551293,2.0,Muslim extremists
CAF,Central African Republic,377.423001679447,Sub-Saharan Africa,ethnic,Low Income,10.0,10.0,6.466667,16.066667,20.0,Fulani extremists
CAF,Central African Republic,377.423001679447,Sub-Saharan Africa,religious,Low Income,6.0,8.0,4.37474,18.551293,14.0,Muslim extremists
CAF,Central African Republic,424.448751343631,Sub-Saharan Africa,ethnic,Low Income,14.0,,5.763551,20.674037,,Fulani extremists
CAF,Central African Republic,424.448751343631,Sub-Saharan Africa,ethnic,Low Income,15.0,12.0,5.965549,20.529325,27.0,Fulani extremists
CAF,Central African Republic,424.448751343631,Sub-Saharan Africa,ethnic,Low Income,15.0,12.0,5.965833,20.528484,27.0,Fulani extremists
CAF,Central African Republic,424.448751343631,Sub-Saharan Africa,ethnic,Low Income,8.0,12.0,4.119087,15.134645,20.0,Fulani extremists
CAF,Central African Republic,424.448751343631,Sub-Saharan Africa,ethnic,Low Income,10.0,12.0,3.520883,16.058537,22.0,Fulani extremists
CAN,Canada,46194.7252255167,North America,ethnic,High Income,0.0,0.0,53.585726,-116.445566,0.0,Neo-Nazi extremists
CAN,Canada,46194.7252255167,North America,Incel,High Income,0.0,3.0,46.50165,-80.939543,3.0,Incel extremists
CAN,Canada,46313.1713712961,North America,Incel,High Income,10.0,15.0,43.7252,-79.387029,25.0,Incel extremists
CAN,Canada,46313.1713712961,North America,religious,High Income,3.0,13.0,43.7252,-79.387029,16.0,Jihadi-inspired extremists
CAN,Canada,45148.5527061655,North America,political,High Income,6.0,19.0,46.777907,-71.305364,25.0,Right-wing extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,0.0,43.7252,-79.387029,0.0,Anti-Muslim extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,0.0,45.415258,-75.696929,0.0,Anti-Muslim extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,1.0,43.7252,-79.387029,1.0,Jihadi-inspired extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,0.0,46.814026,-71.207868,0.0,Anti-Muslim extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,0.0,43.428942,-79.839402,0.0,Jihadi-inspired extremists
CAN,Canada,45148.5527061655,North America,ethnic,High Income,0.0,0.0,51.038022,-114.060986,0.0,Neo-Nazi extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,1.0,53.559074,-113.478905,1.0,Jihadi-inspired extremists
CAN,Canada,45148.5527061655,North America,religious,High Income,0.0,4.0,53.549221,-113.507826,4.0,Jihadi-inspired extremists
CAN,Canada,42322.4847803038,North America,religious,High Income,1.0,1.0,42.95571,-81.623195,2.0,Jihadi-inspired extremists
CAN,Canada,42322.4847803038,North America,religious,High Income,0.0,0.0,43.251298,-79.844161,0.0,Anti-Muslim extremists
CAN,Canada,50893.4467137547,North America,government,High Income,3.0,2.0,46.087816,-64.778231,5.0,Anti-Government extremists
CAN,Canada,50893.4467137547,North America,religious,High Income,2.0,1.0,45.313186,-73.259307,3.0,Jihadi-inspired extremists
CAN,Canada,50893.4467137547,North America,religious,High Income,2.0,3.0,45.423571,-75.700909,5.0,Jihadi-inspired extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-39.579577,-72.441209,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-37.938251,-73.324716,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14896.4538665789,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-37.460066,-73.401121,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.015984,-73.245732,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.870074,-72.553733,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,1.0,-38.115366,-72.337078,1.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.164852,-72.905249,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.708794,-73.155182,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.165666,-72.904588,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.442416,-71.887403,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.671722,-72.223055,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.990368,-72.929374,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.9573,-72.626929,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.532103,-72.436262,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-38.058429,-72.377985,0.0,Mapuche extremists
CHL,Chile,15924.7942393064,South America,ethnic,High Income,0.0,0.0,-37.954944,-72.425588,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,government,High Income,0.0,0.0,-33.366239,-70.505302,0.0,Anti-Government extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,1.0,-38.063818,-72.374219,1.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-38.232654,-72.351508,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-38.381178,-72.296189,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-38.0817,-72.411703,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-38.235075,-72.345882,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-38.014902,-72.425977,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-38.94892,-72.331113,0.0,Mapuche extremists
CHL,Chile,14999.3700885512,South America,ethnic,High Income,0.0,0.0,-37.9552,-72.432741,0.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,0.0,0.0,-38.893953,-72.432467,0.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,0.0,0.0,-38.764244,-72.406216,0.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,0.0,0.0,-38.387578,-71.933745,0.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,0.0,0.0,-38.948921,-72.331113,0.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,0.0,0.0,,,0.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,2.0,0.0,-38.671722,-72.223055,2.0,Mapuche extremists
CHL,Chile,13753.5944374598,South America,ethnic,High Income,0.0,2.0,-37.512183,-72.323872,2.0,Mapuche extremists
CHL,Chile,14670.996760602,South America,ethnic,High Income,0.0,0.0,-38.698045,-72.326232,0.0,Mapuche extremists
CHL,Chile,14670.996760602,South America,ethnic,High Income,0.0,7.0,-38.698045,-72.326232,7.0,Mapuche extremists
CHL,Chile,14670.996760602,South America,ethnic,High Income,0.0,0.0,-38.671722,-72.223055,0.0,Mapuche extremists
CHL,Chile,15842.9408052125,South America,ethnic,High Income,2.0,0.0,-38.671722,-72.223055,2.0,Mapuche extremists
CHL,Chile,15842.9408052125,South America,ethnic,High Income,0.0,0.0,-38.9573,-72.626929,0.0,Mapuche extremists
CHL,Chile,15842.9408052125,South America,ethnic,High Income,0.0,0.0,-38.16402,-72.903185,0.0,Mapuche extremists
CHL,Chile,15842.9408052125,South America,ethnic,High Income,0.0,0.0,-40.619518,-72.472989,0.0,Mapuche extremists
CHN,China,10216.6303341031,East Asia,government,Upper Middle,0.0,4.0,22.390829,113.972513,4.0,Anti-Government extremists
CMR,Cameroon,1425.10781805333,Sub-Saharan Africa,religious,Lower Middle,6.0,0.0,11.11651,14.32935,6.0,Muslim extremists
COD,Democratic Republic of the Congo,467.07423746489,Sub-Saharan Africa,nationalist,Low Income,0.0,0.0,-1.632165,29.247001,0.0,South Sudanese extremists
COD,Democratic Republic of the Congo,467.07423746489,Sub-Saharan Africa,ethnic,Low Income,0.0,0.0,-3.566039,28.802885,0.0,Tutsi extremists
COD,Democratic Republic of the Congo,471.318840409572,Sub-Saharan Africa,ethnic,Low Income,3.0,1.0,-4.350042,15.253698,4.0,Fulani extremists
COD,Democratic Republic of the Congo,471.318840409572,Sub-Saharan Africa,ethnic,Low Income,19.0,0.0,-0.791773,29.045993,19.0,Hutu extremists
COL,Colombia,8050.2553716705,South America,political,Upper Middle,0.0,0.0,4.667128,-74.106053,0.0,Left-wing extremists
CRI,Costa Rica,12243.8114267607,Central America & Caribbean,government,Upper Middle,0.0,0.0,9.938839,-84.08493,0.0,Anti-Government extremists
CRI,Costa Rica,12243.8114267607,Central America & Caribbean,government,Upper Middle,0.0,0.0,9.93637,-84.110256,0.0,Anti-Government extremists
CZE,Czech Republic,20636.199952435,Eastern Europe,political,High Income,0.0,0.0,50.46243,14.910694,0.0,Anti-Immigrant extremists
CZE,Czech Republic,20636.199952435,Eastern Europe,political,High Income,0.0,0.0,50.507712,14.758153,0.0,Anti-Immigrant extremists
CZE,Czech Republic,18575.2320271915,Eastern Europe,ethnic,High Income,0.0,1.0,50.088136,14.466374,1.0,Neo-Nazi extremists
DEU,Germany,46445.2491012508,Western Europe,political,High Income,0.0,0.0,51.523911,6.929247,0.0,Anti-Immigrant extremists
DEU,Germany,46445.2491012508,Western Europe,political,High Income,0.0,4.0,51.522044,6.928117,4.0,Anti-Immigrant extremists
DEU,Germany,46445.2491012508,Western Europe,political,High Income,0.0,0.0,51.455702,7.011577,0.0,Anti-Immigrant extremists
DEU,Germany,46445.2491012508,Western Europe,ethnic,High Income,0.0,0.0,48.326464,9.893107,0.0,Anti-Roma extremists
DEU,Germany,46445.2491012508,Western Europe,religious,High Income,0.0,0.0,51.367078,7.463284,0.0,Anti-Muslim extremists
DEU,Germany,46445.2491012508,Western Europe,ethnic,High Income,1.0,0.0,51.326955,9.170767,1.0,Neo-Nazi extremists
DEU,Germany,46445.2491012508,Western Europe,religious,High Income,0.0,1.0,52.501532,13.40185,1.0,Anti-Semitic extremists
DEU,Germany,46445.2491012508,Western Europe,religious,High Income,1.0,0.0,51.49384,11.980205,1.0,Anti-Semitic extremists
DEU,Germany,46445.2491012508,Western Europe,religious,High Income,1.0,0.0,51.49698,11.968803,1.0,Anti-Semitic extremists
DEU,Germany,46445.2491012508,Western Europe,religious,High Income,0.0,2.0,51.468491,12.124556,2.0,Anti-Semitic extremists
DEU,Germany,47810.5076706348,Western Europe,political,High Income,0.0,3.0,49.142693,9.210879,3.0,Anti-Immigrant extremists
DEU,Germany,47810.5076706348,Western Europe,ethnic,High Income,0.0,0.0,51.351125,8.28513,0.0,Kurdish extremists
DEU,Germany,47810.5076706348,Western Europe,religious,High Income,0.0,0.0,49.145497,9.181412,0.0,Anti-Muslim extremists
DEU,Germany,47810.5076706348,Western Europe,religious,High Income,0.0,0.0,49.250493,11.216857,0.0,Jihadi-inspired extremists
DEU,Germany,47810.5076706348,Western Europe,religious,High Income,0.0,4.0,50.945667,6.973219,4.0,Jihadi-inspired extremists
DEU,Germany,47810.5076706348,Western Europe,religious,High Income,0.0,0.0,52.501532,13.40185,0.0,Jihadi-inspired extremists
DEU,Germany,44552.8193719078,Western Europe,Animal Rights,High Income,0.0,0.0,52.501532,13.40185,0.0,Animal Rights extremists
DEU,Germany,44552.8193719078,Western Europe,political,High Income,0.0,0.0,53.575025,9.959271,0.0,Left-wing extremists
DEU,Germany,44552.8193719078,Western Europe,religious,High Income,1.0,7.0,53.551065,9.993673,8.0,Jihadi-inspired extremists
DEU,Germany,42107.5172703074,Western Europe,ethnic,High Income,0.0,1.0,51.275224,9.54571,1.0,Neo-Nazi extremists
DEU,Germany,42107.5172703074,Western Europe,ethnic,High Income,0.0,2.0,50.765615,13.758394,2.0,Neo-Nazi extremists
DEU,Germany,42107.5172703074,Western Europe,religious,High Income,0.0,0.0,52.368391,9.754008,0.0,Jihadi-inspired extremists
DEU,Germany,42107.5172703074,Western Europe,political,High Income,0.0,0.0,51.728576,12.452151,0.0,Right-wing extremists
DEU,Germany,42107.5172703074,Western Europe,religious,High Income,0.0,3.0,51.470204,7.00255,3.0,Jihadi-inspired extremists
DEU,Germany,42107.5172703074,Western Europe,religious,High Income,1.0,3.0,48.047381,11.963047,4.0,Muslim extremists
DEU,Germany,42107.5172703074,Western Europe,religious,High Income,1.0,5.0,49.75611,9.97061,6.0,Jihadi-inspired extremists
DEU,Germany,42107.5172703074,Western Europe,political,High Income,10.0,27.0,48.183329,11.531643,37.0,Anti-Immigrant extremists
DEU,Germany,42107.5172703074,Western Europe,religious,High Income,1.0,15.0,49.3,10.583333,16.0,Jihadi-inspired extremists
DEU,Germany,42107.5172703074,Western Europe,political,High Income,0.0,0.0,51.342239,12.374772,0.0,Left-wing extremists
